source_name,eu_name
ethametsulfuron methyl,Ethametsulfuron-methyl
p yroxsulam,Pyroxsulam
triflusulfuronmethyl,Triflusulfuron (formerly Triflusulfuron-methyl)
tribenuronmethyl +,Tribenuron (aka metometuron)
garlicextract,Garlic extract
fluazaindolzine,Fluazaindolizine
yl acetate,Dodecyl acetate (SCLP Acetates)
ien-1-yl acetate,"(Z,Z)-Octadien-1-yl acetate"
acetamiprid + emamectin,Emamectin
benzoate,Denathonium benzoate
beauveria bassiana strain ppri,Beauveria bassiana strain PPRI 5339
pyridabene,Pyridaben
pyriproxyfen + spirotetramate,Spirotetramat
sesame oil + clove oil +,Plant oils / Clove oil
sunflower oil horseradish oil,Sunflower oil
spirodiclofene,Spirodiclofen
ammonium,Ammonium Acetate
2 4-d 2-ethylhexyl ester +,"2,4-D"
2 4-db,"2,4-D"
2 4-d dma,"2,4-D"
aclonifen +diflufenican +flufenacet,Aclonifen
florasulam +iodosulfuron-methyl-sodium +diflufenican,Iodosulfuron
fluroxypyr--methylheptyl ester +florasulam,Fluroxypyr
metrib,Metribuzin
+ fluroxypyr-meptyl+,Fluroxypyr
ammonium acetate +trimethylaminehydrochloride + diaminubutane +killdisc esfenvalerate,Trimethylamine hydrochloride
splinpv spodoptera littoralis nucleopolyhedrovirus,Spodoptera littoralis nucleopolyhedrovirus (SpliNPV)
metalaxyl m,Metalaxyl
picoxystrobine,Picoxystrobin
dimethomorph,Dimethomorph
dimoxystrobine,Dimoxystrobin
fenpropimorphe,Fenpropimorph
trifloxystrobin,Trifloxystrobin
pyraclostrobine,Pyraclostrobin
iprovalicarbe,Iprovalicarb
prochloraze,Prochloraz
flumetsulame,Flumetsulam
oxyfluorfene,Oxyfluorfen
phenmediphame,Phenmedipham
1 4-diaminobutane putrescine,"Putrescine (1,4-Diaminobutane)"
formate d ethyl,Ethyl formate
pyrachlostrobin,Pyraclostrobin
fluxapyroxade,Fluxapyroxad
benzovindiflupyr sola,Benzovindiflupyr
forasulam,Florasulam
iodosulfuron-,Iodosulfuron
clodinafop-,Clodinafop
bacillus thuringiensis spkurstaki strain abts-351,Bacillus thuringiensis subsp. Kurstaki strain ABTS-351
famoxad one,Famoxadone
chlorantranliprole,Chlorantraniliprole
s piroxamine,Spiroxamine
spirotetramate,Spirotetramat
trimethylaminehydrochloride,Trimethylamine hydrochloride
