Substance(s) active(s),P.Comm,Société,Fabricant
Tébuconazole,Matiz,SANABEL AGRO,ROTAM AGROCHEMICAL
Metsulfuron Méthyl,Karal,BIOPROTECTION,NUFARM
Metsulfuron Méthyl,Metsy WG,PROTAGRI,UNITED PHOSPHORUS
Oxyfluorfene,Goal,Non spécifié,Non spécifié
Oxyfluorfene,Oxistar 24%,Non spécifié,Non spécifié
Oxyfluorfene,Clenofen 240,Non spécifié,Non spécifié
Metam potassium,Tamifume,AGRO-SYSTEMES,TAMINCO
Métam sodium,Fumical,BIOPROTECTION,ARYSTA LIFESCIENCE
Oxamyl,Vydate GR,AGRIMATCO,DUPONT
Phenamiphos,Nemacur 10 G,PROMOCHIMIE,AMVAC Chemical Corporation
Brodifacoum,Klérat,AGRIPROTEC,SYNGENTA
Brodifacoum,Broditop wax block,ETS MEZGHANI,ZAPI SPA
Brodifacoum,Broditop,ETS MEZGHANI,ZAPI SPA
Brodifacoum,Raticide detia,STIMA,DETIA
Acide Beta indolbutirique,Exuberone,Non spécifié,Non spécifié
Chlorprophame,NEO STOP,PROTAGRI,AGRIPHAR
Huile non ionique,GARAL EC,SOLAGRI,Syngenta
Huile parafinique,Suspray,SEPCM,COMPTOIR COMMERCIAL DES LUBRIFIANTS
Hydrolysat de Protéines,Lysatex,SEPCM,SYNTHRON SAS
Hydrolysat de Protéines,Hydrolysat-Prot,STEC,INDUSTRIAL QUIMICA KEY
Hydrolysat de Protéines,Proteinkey,ETS.MEZGHANI,INDUSTRIAL QUIMICA KEY
Alphacypermethrine,ALLIGATOR,SSCC,GHARDA CHEMICALS LTD
"Azadirachtine (0,03 %) + huile de neem",Nimbicidine,TASMID,T. STANES &Co.Ltd.
Azadirachtine 32 g/L,OIKOS MAX,EL KHADRA,SIPCAM INAGRA
Bacillus thuringiensis,BELTHIRUL,Non spécifié,Non spécifié
Bacillus thuringiensis kurstaki,HALT WP,NEGANOR,BIOSTADT INDE
Bacillus thuringiensis,Delfin WG,AGROSYSTEMES,CERTIS
"Bacillus thuringiensis (spKurstaki),souche ABTS-351",BACTOSPINE DF,SEPCM,VALENT BIOSCIENCE CORPORATION/sumitomo chemical
"Bacillus thuringiensis (spKurstaki),souche ABTS-351",touta stop WP,etsmezghani,industrialquimica key
Bacillus thuringiensis subsp-kurstakisouche EG-2348,LEPINOX PLUS WP,COTUGRAIN,CBC (EUROPE)/BIOGARD
Beauveriabassianastrain R444,Bb-Protec WP,ALOHA Agriculture,Plant Health Products (phy)/Sud d'afrique/Andermatt PHP(Pty) Ltd/ANDERMATT BIOCONTROL GROUP AG
Bifenazate,COMITE 240 SC,BIOPROTECTION,CHEMTURA/AR
Cypermethrine,Belem 0.8 MG,SEPCM,SBM FORMULATION/ CMPA
Cyperméthrine,Cypercal 250 EC,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
Difenoconazole + Cyprodinil,INSPIRE PLUS EW,BIOPROTECTION,SYNGENTA
Deltamethrin,CISTHRIN EC,UNIAGRO,SHANDONG WEIFANG RAINBOW
Diafenthiuron,Pegasus 500 SC,BIOPROTECTION,SYNGENTA
Difenoconazole,NANJI 250 EC,STEC,JIANGSU FENGDENG(fab)
Fenazaquin,MAGISTER,SEPCM,GOWAN
Flubendiamide,FAME 480 SC,ATLAS AGRICOLE,BAYER
Flubendiamide,TAKITOP WG,Sté EL KHADRA,"EASTCHEM CO,Ltd CHINE"
Flubendiamide,Takumi 20 WG,EL MOUSSEM AGRICOLE,NIHON NOHYAKU / NICHINO EUROPE
Flufenoxuron,Qatar,AGROSYSTEMES,GLOBACHEM
Huile minérale,LUMIERE EC,COTUGRAIN,TotalEnergies Fluides A travers KOPPERT
Milbemectin,Milbeknock,AGRIPROTEC,"Mitsui Chemicals Agro,Inc/summit agro"
Pyriproxyfen,MAGIC EC,Fertitech,HANGZHOU TOPAGRO BIOSCIENCE
Pyriproxyfene,PROXIMO EC,EL KHADRA,INDUSTRIAS
Spinosade,Spanvic,UNIAGRO,SHANDONG
Spiropidion,ELESTAL300 SC,BIOPROTECTION,SYNGENTA
