SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE
ETOFENPROX,TREBON EC,ATLAS AGRICOLE,SIPCAM INAGRA S.S,ETOFENPROX,ETOFENPROX,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS AGRICOLE,SIPCAM INAGRA S.S
HALAUXIFEN-METHYL +AMINOPYRALID +CLOQUINTOCET –MEXYL,TREZAK EC,EL BARAKA AGRICOLE,DOW AGROSCIENCE,HALAUXIFEN-METHYL,HALAUXIFEN-METHYL,AMINOPYRALID,AMINOPYRALID,CLOQUINTOCET –MEXYL,CLOQUINTOCET –MEXYL,N/A,N/A,EL BARAKA,DOW AGROSCIENCE
TRICHODERMAHARZIANUM T-22,TRIANUM –P,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEMS,TRICHODERMAHARZIANUM T-22,TRICHODERMAHARZIANUM T-22,N/A,N/A,N/A,N/A,N/A,N/A,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEMS
SULFATE DE CUIVRE TRIBASIQUE,TRIBASE -FLOW SC,ATLAS AGRICOLE,NUFARM,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,NUFARM
TRIBENURON-METHYL,TRIBUNEO 75 G,SSCC,AGRIA,TRIBENURON-METHYL,TRIBENURON-METHYL,N/A,N/A,N/A,N/A,N/A,N/A,SSCC,AGRIA
TRIBENURON METHYL + FLORASULAM,TRIFLOS,NEGANOR FFT,JSC(AVGUST),TRIBENURON METHYL,TRIBENURON METHYL,FLORASULAM,FLORASULAM,N/A,N/A,N/A,N/A,NEGANOR FFT,JSC AVGUST
CYROMAZINE,TRIGARD,BIOPROTECTION,SYNGENTA,CYROMAZINE,CYROMAZINE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
CYROMAZINE,TRIGARD,ETS MEZGHANI,INDUST. QUIMICA KEY,CYROMAZINE,CYROMAZINE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUST QUIMICA KEY
MANÈBE,TRIMANGOL,STEC,CEREXAGRI,MANÈBE,MANÈBE,N/A,N/A,N/A,N/A,N/A,N/A,STEC,CEREXAGRI
ACRINATHRINE +ABAMECTINE,TRIPSOL EW,AGROSYSTEME,CHEMINOVA/FMC,ACRINATHRINE,ACRINATHRINE,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,AGROSYSTEME,CHEMINOVA FMC
FLUAZIFOP-P-BUTYL,TRIVKO,SOLAGRI,SYNGENTA,FLUAZIFOP-P-BUTYL,FLUAZIFOP-P-BUTYL,N/A,N/A,N/A,N/A,N/A,N/A,SOLAGRI,SYNGENTA
MANCOZÈBE,TRIZIMAN 80,AGRIPROTEC,UPL,MANCOZÈBE,MANCOZÈBE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,UPL
BENTAZONE,TROY 480 SL,AGRIPROTEC,UPL LIMITED,BENTAZONE,BENTAZONE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,UPL
METAZACHLORE,TWIGA,BIOPROTECTION,AAKO BV,METAZACHLORE,METAZACHLORE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,AAKO BV
CYPROCONAZOLE + PROPICINAZOLE,TWIST SUPER EC,ATLAS AGRICOLE,SHARDA,CYPROCONAZOLE,CYPROCONAZOLE,PROPICINAZOLE,PROPICINAZOLE,N/A,N/A,N/A,N/A,ATLAS,SHARDA
CHLOROTOLURON +PENDIMEYHALIN+ DIFLUFENICAN,UMBRA 590 SC,BIOPROTECTION,SYNGENTA,CHLOROTOLURON,CHLOROTOLURON,PENDIMEYHALIN,PENDIMEYHALIN,DIFLUFENICAN,DIFLUFENICAN,N/A,N/A,BIOPROTECTION,SYNGENTA
CYPRODINIL,UNIX 50 WG,EL MOUSSEM AGRICOLE,SYNGENTA,CYPRODINIL,CYPRODINIL,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,SYNGENTA
CHINOZOLE,V-NOL,AGROSYSTEMES,PROBELTE,CHINOZOLE,CHINOZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,PROBELTE
LAMINARIN,VACCIPLANT,EL MOUSSEM,GOEMAR SAS/ARYSTA/UPL,LAMINARIN,LAMINARIN,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,GOEMAR ARYSTA UPL
PROPICONAZOLE,VALEO 25 EC,DELTA AGRICOLE PLUS,SHARDA CROPCHEM,PROPICONAZOLE,PROPICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,DELTA PLUS,SHARDA CROPCHEM
OXYCHLORURE DE CUIVRE,VALTONEX FLOW SC,NEGANOR,IQV,OXYCHLORURE DE CUIVRE,OXYCHLORURE DE CUIVRE,N/A,N/A,N/A,N/A,N/A,N/A,NEGANOR,IQV
OXYCHLORURE DE CUIVRE,VALTOSAN WP,FERTITECH,ALINTRA-ESPAGNE,OXYCHLORURE DE CUIVRE,OXYCHLORURE DE CUIVRE,N/A,N/A,N/A,N/A,N/A,N/A,FERTITECH,ALINTRA ESPAGNE
GAMMA-CYHALOTHRINE,VANTEX,AGROSYSTEMES,FMC,GAMMA-CYHALOTHRINE,GAMMA-CYHALOTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,FMC
ABAMECTINE,VARGAS ULTRA EC,SOLAGRI,"ROTAM CHEMISTRY CO.,LTD/ALBAUGH",ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,SOLAGRI,ROTAM CHEMISTRY ALBAUGH
INDOXACARBE,VAULENT,TASMID,ASTRACHEM,INDOXACARBE,INDOXACARBE,N/A,N/A,N/A,N/A,N/A,N/A,TASMID,ASTRACHEM
FLUROXYPYR +CLOPYRALID,VEGA EC,AGRIMED DISTRIBUTION,SHARDA CROPCHEM,FLUROXYPYR,FLUROXYPYR,CLOPYRALID,CLOPYRALID,N/A,N/A,N/A,N/A,AGRIMED DISTRIBUTION,SHADRA CROPCHEM
CYFLUMETOFEN,VELAR 20 SC,COTUGRAIN,OAT AGRIO(FAB)/JAPO(LIDA PLANT RESEARCH/FOURNISSEUR),CYFLUMETOFEN,CYFLUMETOFEN,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,OAT AGRIO FAB JAPO LIDA PLANT RESEARCH FOURNISSEUR
FLUOPYRAM,VELUM PRIME 400 SC,ATLAS AGRICOLE,BAYER AG,FLUOPYRAM,FLUOPYRAM,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,BAYER AG
SULFATE DE CUIVRE TRIBASIQUE + ZOXAMIDE,VENTARO,STEC,NUFARM,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,ZOXAMIDE,ZOXAMIDE,N/A,N/A,N/A,N/A,STEC,NUFARM
FAMOXADONE + CYMOXANIL,VENUS WG,STIMA,"SHENGNONG PESTICIDE, CO. LTD/HANGZHOUTOPAGRO BIOSCIENCE",FAMOXADONE,FAMOXADONE,CYMOXANIL,CYMOXANIL,N/A,N/A,N/A,N/A,STIMA,SHENGNONG PESTICIDE HANGZHOUTOPAGRO BIOSCIENCE
LENACIL,VENZAR,SEPCM,FMC,LENACIL,LENACIL,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,FMC
CYANTRANILIPROLE,VERIMARK SC,SEPCM,FMC,CYANTRANILIPROLE,CYANTRANILIPROLE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,FMC
FENAMIDONE + FOSETHYL-AL,VERITA,STEC,BAYER CROPSCIENCE,FENAMIDONE,FENAMIDONE,FOSETHYL-AL,FOSETHYL-AL,N/A,N/A,N/A,N/A,STEC,BAYER CROPSCIENCE
INDOXACARB,VEROX WDG,SANABEL AGRO,AGROBEATS TECH CHINE,INDOXACARB,INDOXACARB,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,AGROBEATS TECH CHINE
METAFLUMIZONE,VERSIMO 240 SC,AGRIPROTEC,BASF,METAFLUMIZONE,METAFLUMIZONE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
ABAMECTINE,VERTIMEC,BIOPROTECTION,SYNGENTA,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
MEFENTRIFLUCONAZOLE + FLUXAPYROXADE,VERYDOR,COTUGRAIN,BASF,MEFENTRIFLUCONAZOLE,MEFENTRIFLUCONAZOLE,FLUXAPYROXADE,FLUXAPYROXADE,N/A,N/A,N/A,N/A,COTUGRAIN,BASF
FLUDIOXONIL + SEDAXANE,VIBRANCE DUO FS,BIOPROTECTION,SYNGENTA,FLUDIOXONIL,FLUDIOXONIL,SEDAXANE,SEDAXANE,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
DIFENOCONAZOLE + FLUDIOXONIL +SEDEXANE,VIBRANCE GOLD,BIOPROTECTION,SYNGENTA,DIFENOCONAZOLE,DIFENOCONAZOLE,FLUDIOXONIL,FLUDIOXONIL,SEDEXANE,SEDEXANE,N/A,N/A,BIOPROTECTION,SYNGENTA
METALAXYL-M +FLUDIOXINIL + SEDAXANE,VIBRANCE MAXX FS,BIOPROTECTION,SYNGENTA,METALAXYL-M,METALAXYL-M,FLUDIOXINIL,FLUDIOXINIL,SEDAXANE,SEDAXANE,N/A,N/A,BIOPROTECTION,SYNGENTA
DIFLUFENICAN + FLUFENACET + FLURTAMONE,VIGON 420 SC,PROMOCHIMIE,BAYER CROPSCIENCE,DIFLUFENICAN,DIFLUFENICAN,FLUFENACET,FLUFENACET,FLURTAMONE,FLURTAMONE,N/A,N/A,PROMOCHIMIE,BAYER CROPSCIENCE
FLUTRIAFOL + THIABENDAZOLE,VINCIT F,AGRIPROTEC,CHEMINOVA,FLUTRIAFOL,FLUTRIAFOL,THIABENDAZOLE,THIABENDAZOLE,N/A,N/A,N/A,N/A,AGRIPROTEC,CHEMINOVA
METRAFENONE,VIVANDO,AGRIPROTEC,BASF / SBM FORMULATION,METRAFENONE,METRAFENONE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF SBM FORMULATION
PROPAMOCARBE + FLUOPICOLIDE,VOLARE,EL MOUSSEM AGRICOLE,BAYER AG,PROPAMOCARBE,PROPAMOCARBE,FLUOPICOLIDE,FLUOPICOLIDE,N/A,N/A,N/A,N/A,EL MOUSSEM,BAYER AG
PYRAFLUFEN-ETHYL,VOLCAN EC,ATLAS AGRICOLE,SPICAM INAGRA SA,PYRAFLUFEN-ETHYL,PYRAFLUFEN-ETHYL,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,SPICAM INAGRA SA
CHLORANTRANILIPROLE + ABAMECTINE,VOLIAMTARGO 063 SC,BIOPROTECTION,SYNGENTA,CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
TRIBENURON-METHYL,VOLTEO 75 WG,EL KHADRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL,TRIBENURON-METHYL,TRIBENURON-METHYL,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,INDUSTRIAS AFRAZA ALBAU GH EUROPE
TEFLUTHRINE,VOLTRA 0.5 G,COTUGRAIN,SYNGENTA,TEFLUTHRINE,TEFLUTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,SYNGENTA
FLUCARBAZONE-SODIUM,VULCANO,AGRIPROTEC,ARYSTA LIFESCIENCE,FLUCARBAZONE-SODIUM,FLUCARBAZONE-SODIUM,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,ARYSTA LIFESCIENCE
OXAMYL,VYDATE 10 L,AGRIPROTEC,DU PONT,OXAMYL,OXAMYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,DU PONT
OXAMYL,VYDATE GR,AGRIMATCO,DUPONT,OXAMYL,OXAMYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,DUPONT
GLYPHOSATE,WEED KILLER,EL KHADRA,SHARDA WORLD WIDE,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,SHARDA WORLD WIDE
KEROMONE 42.5 ML ACETATE D'ETHYLE,WEEVIL MAGNET (KEROMONE),BIOPROTECTION,CHEMTICA INTERNATIONAL,KEROMONE 42.5 ML ACETATE D'ETHYLE,KEROMONE 42.5 ML ACETATE D'ETHYLE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,CHEMTICA INTERNATIONAL
TEBUCONAZOLE +PROCHLORAZ,WINNER,BIOPROTECTION,NUFARM SAS,TEBUCONAZOLE,TEBUCONAZOLE,PROCHLORAZ,PROCHLORAZ,N/A,N/A,N/A,N/A,BIOPROTECTION,NUFARM
CYPROCONAZOLE + PROPICINAZOLE,WINTER 41 EC,AGRIMED DISTRIBUTION,SHARDA,CYPROCONAZOLE,CYPROCONAZOLE,PROPICINAZOLE,PROPICINAZOLE,N/A,N/A,N/A,N/A,AGRIMED DISTRIBUTION,SHARDA
KINETIN,X-CYTE SL,NUTRIPLANT,STOLLER EUROPE,KINETIN,KINETIN,N/A,N/A,N/A,N/A,N/A,N/A,NUTRIPLANT,STOLLER EUROPE
CYPROCONAZOLE,XPERT WG,EL KHADRA,SHARDA,CYPROCONAZOLE,CYPROCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,SHARDA
PYROXASULFONE,YAMATO 85 WG,AGRIMATCO,KUMAI CHEMICAL INDUSTRY,PYROXASULFONE,PYROXASULFONE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,KUMAI INDUSTRY
TRIFLOXYSTROBIN,ZATO 50 WG,ATLAS AGRICOLE,BAYER CROPSCIENCE,TRIFLOXYSTROBIN,TRIFLOXYSTROBIN,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,BAYER CROPSCIENCE
FENPROPIDINE + PROPICONAZOLE,ZENITH 575 EC,SOLAGRI,SYNGENTA,FENPROPIDINE,FENPROPIDINE,PROPICONAZOLE,PROPICONAZOLE,N/A,N/A,N/A,N/A,SOLAGRI,SYNGENTA
ABAMECTINE,ZORO,SSCC,CHEMINOVA/ FMC,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,SSCC,CHEMINOVA FMC
OXATHIAPIPROLIN + FAMOXADONE,ZORVEC ENCANTIA SE,EL BARAKA,CORTEVA,OXATHIAPIPROLIN,OXATHIAPIPROLIN,FAMOXADONE,FAMOXADONE,N/A,N/A,N/A,N/A,EL BARAKA,CORTEVA
OXATHIAPIPROLIN +ZOXAMIDE,ZORVEC VINABEL SE,ATLAS AGRICOLE,CORTEVA,OXATHIAPIPROLIN,OXATHIAPIPROLIN,ZOXAMIDE,ZOXAMIDE,N/A,N/A,N/A,N/A,ATLAS,CORTEVA
